description,label
a lion standing on the grass,animal
A happy teenager watching the sunset.,portrait
A cliff is covered with mist.,landscape
A cute man smiling in the sun.,portrait
a bike moving through the corridor,others
A happy doctor watching the sunset.,portrait
a group of camels in the wild,animal
The ocean is bathed in morning light.,landscape
A playful artist laughing near the lake.,portrait
a ball on top of the bridge,others
The countryside is covered with mist.,landscape
a box near the bridge,others
A graceful child sitting beside the campfire.,portrait
a camera moving through the road,others
A cliff is reflected in the clear water.,landscape
A elegant child singing on the rooftop.,portrait
A snowfield is painted in autumn colors.,landscape
A river is reflected in the clear water.,landscape
a rat walking in the forest,animal
The ocean is covered with mist.,landscape
The beach whispers through the wind.,landscape
a goat perched on a branch,animal
A curious girl dancing on the stage.,portrait
a lion sleeping under a tree,animal
a group of rats in the wild,animal
A meadow echoes with the sound of birds.,landscape
The ocean shimmers under the moonlight.,landscape
A desert shimmers under the moonlight.,landscape
a zebra swimming in the river,animal
A smart teacher laughing near the lake.,portrait
a drone hidden behind the tower,others
a bus parked beside the wall,others
A little child under the street light.,portrait
a ball hidden behind the fence,others
A gentle artist walking by the river.,portrait
A happy kid posing under the moon.,portrait
A stylish teenager reading in a library.,portrait
A charming student dancing on the stage.,portrait
a koala standing on the grass,animal
A river is covered with mist.,landscape
a rabbit hiding in the bushes,animal
a dolphin drinking water from a pond,animal
A cliff stretches to the horizon.,landscape
A snowfield sparkles after the rain.,landscape
A valley is reflected in the clear water.,landscape
a cow swimming in the river,animal
A beautiful child talking with friends.,portrait
a pig playing with another owl,animal
A teacher holding a cup of coffee.,portrait
A cheerful doctor standing under the stars.,portrait
a ball in the plaza,others
The beach is peaceful and silent.,landscape
A tall man standing by the window.,portrait
The beach is bathed in morning light.,landscape
The jungle is surrounded by wildflowers.,landscape
a penguin running across the field,animal
A joyful dancer talking with friends.,portrait
A traveler holding a bunch of flowers.,portrait
a lizard drinking water from a pond,animal
A mother sitting on a bench.,portrait
A curious soldier climbing a tree.,portrait
a beaver running across the field,animal
A cliff is covered with mist.,landscape
A innocent soldier reading in a library.,portrait
A snowfield stands tall against the sky.,landscape
A valley glows under the sunset.,landscape
a cat swimming in the river,animal
a motorcycle parked beside the wall,others
A river stands tall against the sky.,landscape
a bike under the shed,others
a camera beside the tunnel,others
A cute doctor watching the sunset.,portrait
A adorable soldier smiling in the sun.,portrait
a shark walking in the forest,animal
A gorgeous girl leaning on the fence.,portrait
The mountain is covered with mist.,landscape
a bike on top of the fence,others
A graceful photographer posing under the moon.,portrait
a chicken swimming in the river,animal
A river is bathed in morning light.,landscape
a koala hiding in the bushes,animal
A meadow whispers through the wind.,landscape
A smiling woman smiling at the camera.,portrait
A elegant boy painting on a canvas.,portrait
a donkey drinking water from a pond,animal
A student walking in the park.,portrait
A joyful photographer sitting beside the campfire.,portrait
a frog perched on a branch,animal
A smiling woman standing by the window.,portrait
a beaver playing with another flamingo,animal
a kite floating above the shed,others
a plastic bag floating above the tower,others
a chair in the station,others
A cute photographer watching the sunset.,portrait
A photographer smiling at the camera.,portrait
The jungle sparkles after the rain.,landscape
A father holding a cup of coffee.,portrait
An old man leaning on the fence.,portrait
a group of owls in the wild,animal
The mountain glows under the sunset.,landscape
